,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,POT,,,,,,"開発T
DevT",,,,,,,,,,,,,
,No.,"時間
Time","すること
Todo","判断材料
Căn cứ đánh giá",,,No.,"時間
Time","すること
Todo","判断材料
Căn cứ đánh giá",,,,,,,,,,
,1.0,3.0,"チーム内で役割分担を決める
Quyết định vai trò trong team","全員がスプリントプランニングで話し合う内容をリアルタイムで把握できる体制になっているか
Đã hình thành cơ chế để toàn bộ thành viên nắm được nội dung thảo luận trong Sprint Planning theo thời gian thực hay chưa?",True,,1.0,3.0,"チーム内で役割分担を決める
Quyết định vai trò trong team","全員がスプリントプランニングで話し合う内容をリアルタイムで把握できる体制になっているか
Đã hình thành cơ chế để toàn bộ thành viên nắm được nội dung thảo luận trong Sprint Planning theo thời gian thực hay chưa?",True,,,,,,,,,
,2.0,7.0,"POT内で話し合って仮のスプリントゴールを決める
POT thảo luận trong team để quyết định mục tiêu sprint tạm thời","・プロダクトバックログの各アイテムの優先度
・プロダクトバックログの各アイテムの規模（大／中／小）
・事前学習「スプリントゴール」の内容

・Độ ưu tiên của từng mục trong Product Backlog
・Độ lớn của từng mục trong Product Backlog (lớn / vừa / nhỏ)
・Nội dung của phần chuẩn bị bài “mục tiêu sprint”",True,"←別作業→
←Task riêng→",2.0,7.0,"各メンバーが1週間に何時間開発できるかを確認する
Xác nhận xem các member có thể phát triển được bao nhiêu tiếng trên 1 tuần ","・各メンバーのこれから1週間のスケジュール
・各メンバーの技術力＆生成AI使用スキル（Codingが全くできない人はTesterなどで貢献してもらう）

・Schedule trong 1 tuần tới của từng thành viên
・Năng lực kỹ thuật và kỹ năng sử dụng AI của từng thành viên (những người hoàn toàn không code được có thể đóng góp với vai trò như Tester...)",True,,,,,,,,,
,3.0,5.0,"開発Tと話し合ってスプリントゴールを決め、開発Tの記入が終わったら教師に口頭で報告する
※スプリントゴールの記入は開発Tにしてもらうこと
※No.3～5の時間は目安で、多少前後しても問題ない

Thảo luận với DevT để quyết định mục tiêu sprint, sau khi DevT hoàn tất việc ghi chép, báo cáo miệng lại cho giáo viên
※Phần ghi mục tiêu sprint phải do DevT thực hiện
※Thời gian ở các mục số 3–5 chỉ mang tính tham khảo, có thể xê dịch một chút cũng không sao","・開発Tの各メンバーが開発に使える時間
・2で決めた仮のスプリントゴール（多すぎる／少なすぎるなら調整する）

・Thời gian mà từng thành viên DevT có thể dành cho việc phát triển
・Mục tiêu sprint tạm thời đã quyết định ở 2 (nếu quá nhiều hoặc quá ít thì cần điều chỉnh)",True,"←話し合い→
←Thảo luận→",3.0,5.0,"POTと話し合ってスプリントゴールを決め、スプリントバックログにベトナム語で記入する
※No.3～5の時間は目安で、多少前後しても問題ない

Thảo luận với POT để quyết định mục tiêu sprint, sau đó ghi mục tiêu sprint vào Sprint Backlog bằng tiếng Việt.
※ Thời gian ở các mục số 3–5 chỉ mang tính tham khảo, có thể xê dịch một chút cũng không sao","・開発Tの各メンバーが開発に使える時間
・開発Tの技術力＆生成AI使用スキル
・事前学習「スプリントゴール」の内容（POTの要求が悪いスプリントゴールの例と同じ場合、POTに修正案をFBすること）

・Thời gian mà từng thành viên trong DevT có thể dành cho việc phát triển
・Năng lực kỹ thuật của DevT & kỹ năng sử dụng AI
・Nội dung của phần chuẩn bị bài “mục tiêu sprint”（Nếu yêu cầu mục tiêu sprint của POT giống với ví dụ về mục tiêu sprint NG, thì cần FB lại cho POT kèm đề xuất chỉnh sửa)",True,,,,,,,,,
,4.0,25.0,"開発TとQ&Aをしながら、タスクの妥当性を確認する
スプリントバックログ作成チェックリストも参照すること
※待機時間が発生する場合、仕様書・プロダクトバックログの見直し等、開発Tが良いプロダクトを開発できるようにすることに時間を使うこと

Q&A với DevT để xác nhận tính hợp lý của các task.
Tham khảo checklist tạo Sprint Backlog
※Nếu phát sinh thời gian chờ, hãy sử dụng thời gian đó để rà soát lại tài liệu đặc tả, Product Backlog… để giúp DevT tạo ra sản phẩm tốt hơn","・そのタスクはスプリントゴール達成と関係があるか
・P_IDの受入条件を達成するために、タスクに不足がないか
　※そのスプリントでP_IDの受入条件を達成する必要がない場合はタスクに不足があってもいい
・そのタスクの開発に必要な情報が、仕様書・プロダクトバックログに不足なく記載されているか（されていない場合、修正が必要）

・Task đó có liên quan trực tiếp đến việc đạt được mục tiêu sprint hay không?
・Để đạt được điều kiện chấp nhận của P_ID, các task đã đầy đủ chưa?
　※Trong trường hợp sprint không yêu cầu hoàn thành điều kiện chấp nhận của P_ID, thì việc task chưa đầy đủ vẫn có thể chấp nhận được
・Các thông tin cần thiết cho việc phát triển task đã được ghi đầy đủ trong tài liệu đặc tả và Product Backlog hay chưa?（Nếu chưa thì cần chỉnh sửa）",True,"←話し合い→
←Thảo luận→",4.0,25.0,"スプリントゴールから必要なタスクを抽出し、スプリントバックログにベトナム語で記入する
記入の際は、スプリントバックログ作成チェックリストも参照すること
※この時点で日本語は不要

Dựa vào mục tiêu sprint để lọc ra các task cần thiết và ghi vào Sprint Backlog bằng tiếng Việt.
Khi ghi, cần tham khảo checklist tạo Sprint Backlog
※ Ở bước này chưa cần dùng tiếng Nhật","・そのタスクはスプリントゴール達成と関係があるか
・P_IDの受入条件を達成するために、タスクに不足がないか
　※そのスプリントでP_IDの受入条件を達成する必要がない場合はタスクに不足があってもいい
・そのタスクの開発に必要な情報が、仕様書・プロダクトバックログに不足なく記載されているか（されていない場合、その場でPOTにFBすること）

・Task đó có liên quan trực tiếp đến việc đạt được mục tiêu sprint hay không?
・Để đạt được điều kiện chấp nhận của P_ID, các task đã đầy đủ chưa?
　※Trong trường hợp sprint không yêu cầu hoàn thành điều kiện chấp nhận của P_ID, thì việc task chưa đầy đủ vẫn có thể chấp nhận được
・Các thông tin cần thiết cho việc phát triển task đó đã được ghi đầy đủ trong tài liệu đặc tả và Product Backlog hay chưa?（Nếu chưa đầy đủ, cần FB ngay cho POT tại chỗ）",True,,,,,,,,,
,5.0,5.0,"スプリントバックログ全体を確認し、問題なければ承認し、Slackの報告用スレッドでスプリントプランニング終了報告をする

Kiểm tra toàn bộ Sprint Backlog, nếu không có vấn đề thì phê duyệt và báo cáo kết thúc Sprint Planning trên thread báo cáo của Slack","・スプリントバックログに記載されたタスクで、スプリントゴールが達成できそうか
・開発Tが1週間で開発完了できる内容か／もっと開発できそうか

・Có khả năng đạt được mục tiêu sprint với các task đã ghi trong Sprint Backlog hay không？
・Khối lượng công việc đó DevT có thể phát triển xong trong 1 tuần hay không, hay là vẫn còn có thể phát triển thêm",True,"←話し合い→
←Thảo luận→",5.0,5.0,"スプリントバックログのベトナム語版をFIXする
※この時点で日本語は不要

Chốt bản tiếng Việt của Sprint Backlog
※ Ở thời điểm này chưa cần dùng tiếng Nhật","・スプリントバックログに記載されたタスクで、スプリントゴールが達成できそうか
・1週間で開発完了できる内容か／もっと開発できそうか（できるならタスクの追加をPOTに提案する）

・Có khả năng đạt được mục tiêu sprint với các task đã ghi trong Sprint Backlog hay không？
・Nội dung đó có thể hoàn thành phát triển trong vòng 1 tuần hay không? hay còn có thể phát triển thêm
（Nếu còn làm được thêm, đề xuất với POT việc bổ sung task）",True,,,,,,,,,
,6.0,-,"（早く終わった場合）仕様書・プロダクトバックログに情報不足等がないか確認し、必要な場合修正し、開発Tに共有する

(Nếu xong sớm) Kiểm tra xem tài liệu đặc tả và Product Backlog có thiếu thông tin hay không, nếu cần thì chỉnh sửa và chia sẻ lại cho DevT","開発Tが開発をするために十分な情報が記載されているか
Có ghi đầy đủ thông tin để DevT phát triển hay không
",True,"←別作業→
←Task riêng→",6.0,-,"（早く終わった場合）スプリントバックログに日本語訳を追加し、スプリントバックログ作成チェックリストに✅を入れる
修正が発生する場合、POTに共有する

(Nếu xong sớm) Bổ sung bản dịch tiếng Nhật vào Sprint Backlog và tích ✅ vào checklist tạo Sprint Backlog
Nếu có phát sinh chỉnh sửa, cần thông báo cho POT","スプリントバックログ作成チェックリストの各項目を達成しているか
Kiểm tra đã đạt được từng mục trong check list tạo Sprint Backlog hay chưa?",True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"POTの注意事項
Các điểm chú ý cho POT",,,,,,"開発Tの注意事項
Các điểm chú ý cho DevT",,,,,,,,,,,,,
